2021-06-13 22:00:54 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2021-06-13 22:00:55 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2021-06-13 22:00:55 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2021-06-13 22:00:55 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2021-06-13 22:00:55 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2021-06-13 22:00:55 install fontconfig:amd64 <none> 2.13.1-2ubuntu3
2021-06-13 22:00:55 status half-installed fontconfig:amd64 2.13.1-2ubuntu3
2021-06-13 22:00:55 status unpacked fontconfig:amd64 2.13.1-2ubuntu3
2021-06-13 22:00:55 install libgfortran5:amd64 <none> 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:55 status half-installed libgfortran5:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:55 status unpacked libgfortran5:amd64 10.2.0-5ubuntu1~20.04
2021-06-13 22:00:55 install libgfortran-9-dev:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:55 status half-installed libgfortran-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:55 status unpacked libgfortran-9-dev:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:55 install gfortran-9:amd64 <none> 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:55 status half-installed gfortran-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:56 status unpacked gfortran-9:amd64 9.3.0-17ubuntu1~20.04
2021-06-13 22:00:56 install gfortran:amd64 <none> 4:9.3.0-1ubuntu2
2021-06-13 22:00:56 status half-installed gfortran:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:56 status unpacked gfortran:amd64 4:9.3.0-1ubuntu2
2021-06-13 22:00:56 install libnl-3-200:amd64 <none> 3.4.0-1
2021-06-13 22:00:56 status half-installed libnl-3-200:amd64 3.4.0-1
2021-06-13 22:00:56 status unpacked libnl-3-200:amd64 3.4.0-1
2021-06-13 22:00:56 install libnl-route-3-200:amd64 <none> 3.4.0-1
2021-06-13 22:00:56 status half-installed libnl-route-3-200:amd64 3.4.0-1
2021-06-13 22:00:56 status unpacked libnl-route-3-200:amd64 3.4.0-1
2021-06-13 22:00:56 install libibverbs1:amd64 <none> 28.0-1ubuntu1
2021-06-13 22:00:56 status half-installed libibverbs1:amd64 28.0-1ubuntu1
2021-06-13 22:00:56 status unpacked libibverbs1:amd64 28.0-1ubuntu1
2021-06-13 22:00:56 install ibverbs-providers:amd64 <none> 28.0-1ubuntu1
2021-06-13 22:00:56 status half-installed ibverbs-providers:amd64 28.0-1ubuntu1
2021-06-13 22:00:57 status unpacked ibverbs-providers:amd64 28.0-1ubuntu1
2021-06-13 22:00:57 install icu-devtools:amd64 <none> 66.1-2ubuntu2
2021-06-13 22:00:57 status half-installed icu-devtools:amd64 66.1-2ubuntu2
2021-06-13 22:00:57 status unpacked icu-devtools:amd64 66.1-2ubuntu2
2021-06-13 22:00:57 install libonig5:amd64 <none> 6.9.4-1
2021-06-13 22:00:57 status half-installed libonig5:amd64 6.9.4-1
2021-06-13 22:00:57 status unpacked libonig5:amd64 6.9.4-1
2021-06-13 22:00:57 install libjq1:amd64 <none> 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 status half-installed libjq1:amd64 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 status unpacked libjq1:amd64 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 install jq:amd64 <none> 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 status half-installed jq:amd64 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 status unpacked jq:amd64 1.6-1ubuntu0.20.04.1
2021-06-13 22:00:57 install libalgorithm-diff-perl:all <none> 1.19.03-2
2021-06-13 22:00:57 status half-installed libalgorithm-diff-perl:all 1.19.03-2
2021-06-13 22:00:57 status unpacked libalgorithm-diff-perl:all 1.19.03-2
2021-06-13 22:00:57 install libalgorithm-diff-xs-perl:amd64 <none> 0.04-6
2021-06-13 22:00:57 status half-installed libalgorithm-diff-xs-perl:amd64 0.04-6
2021-06-13 22:00:57 status unpacked libalgorithm-diff-xs-perl:amd64 0.04-6
2021-06-13 22:00:57 install libalgorithm-merge-perl:all <none> 0.08-3
