batch ID	stage-G4KkV88J6XG340022vxq916x.tumor_bai	stage-G4KkV88J6XG340022vxq916x.tumor_bam	stage-G4KkV88J6XG340022vxq916x.tumor_bai ID	stage-G4KkV88J6XG340022vxq916x.tumor_bam ID
4751393	4751393_23153_0_0.cram.crai	4751393_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1gvjJQkFqX08fG45vKp9x	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1gx8JQkFzgyZ03jF79fpj
4751424	4751424_23153_0_0.cram.crai	4751424_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yxjJx20GXqY33k9G4B9v	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yyQJx20JJ1YV3jzqZqg5
4751438	4751438_23153_0_0.cram.crai	4751438_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvkz0JgXZv4jfV3jbZYzzk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkzQJgXZY6fz03jJVbpZ0
4751480	4751480_23153_0_0.cram.crai	4751480_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZk0JbPpj3pf33jvJvKF2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZvjJbPpv9ky93jF7YJK9
4751491	4751491_23153_0_0.cram.crai	4751491_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvf4QJYq85j06Y3jy23Bf0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvf50JYq865Yx53k17ByQ7
4751525	4751525_23153_0_0.cram.crai	4751525_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPV8JGkxXQf4v3jQjkgq8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPV8JGkxbVfK43k0bF415
4751532	4751532_23153_0_0.cram.crai	4751532_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5q8Jv2VQjKFZ3jf5QVb1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5qjJv2Vk65763jfjyx00
4751554	4751554_23153_0_0.cram.crai	4751554_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby978Jz5JzzFk0PvKKKK9k	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby978Jz5Jv9ky93jF7YF0X
4751597	4751597_23153_0_0.cram.crai	4751597_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxJQJ0PQ5VfK43k0bBpPJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxKQJ0PQ1v92p3jFzg7X5
4751614	4751614_23153_0_0.cram.crai	4751614_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8K0Jfjz5xXGv3jPxvyyj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8K0Jfjz965763jfjyg7k
4751653	4751653_23153_0_0.cram.crai	4751653_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4pyQJYyZj8X51FVq6VVXz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4pz8JYyZvXqY33k9G4Qz0
4751671	4751671_23153_0_0.cram.crai	4751671_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxx8JQF8vXqY33k9G3FX8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvxxQJQF8zgyZ03jF78z58
4751686	4751686_23153_0_0.cram.crai	4751686_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPk8Jg48zzFk0PvKKK8G3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPkQJg48b7v96P5VP75Vp
4751716	4751716_23153_0_0.cram.crai	4751716_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj50JByxBzx9v3k28P7ZQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj5QJByxBzx9v3k28P7Zf
4751773	4751773_23153_0_0.cram.crai	4751773_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvq7QJjQXyYGJZ3jyQ9jvy	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvqF0JjQXYfQVX3jFk027V
4751815	4751815_23153_0_0.cram.crai	4751815_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxyYjJfJBk58zV3kz19fj3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxyZ0JfJBk58zV3kz19fj9
4751859	4751859_23153_0_0.cram.crai	4751859_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy3QJxV42Qf4v3jQjkqFf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy48JxV488X51FVq6Qk5G
4751877	4751877_23153_0_0.cram.crai	4751877_23153_0_0.cram	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5fQJ06z9PxkG3k8v691P	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5gQJ06z6X5613kgxGG3f
